ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-13431,"08/12/2023, 7:46:00 PM","08/13/2023, 4:10:02 PM",NEW WESTMINSTER,BC,V3M 2X1,1700 Block EDINBURGH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13415,"08/12/2023, 11:40:00 AM","08/13/2023, 4:10:02 PM",NEW WESTMINSTER,BC,V3L 4H3,300 Block E 6TH AVE,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH
23-13394,"08/12/2023, 4:17:00 AM","08/13/2023, 4:10:02 PM",NEW WESTMINSTER,BC,V3M 1A5,400 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-13349,"08/11/2023, 3:45:00 PM","08/12/2023, 4:08:48 PM",NEW WESTMINSTER,BC,V3L 3J9,300 Block SIMPSON ST,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000
23-13346,"08/11/2023, 3:47:00 PM","08/12/2023, 4:08:48 PM",NEW WESTMINSTER,BC,V3M 5T4,1300 Block 3RD AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80269,"07/25/2023, 11:20:00 PM","08/12/2023, 4:08:48 PM",NEW WESTMINSTER,BC,V3M 5B1,300 Block SALTER ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13287,"08/10/2023, 7:38:00 PM","08/12/2023, 4:08:48 PM",NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13319,"08/06/2023, 8:00:00 PM","08/12/2023, 4:08:48 PM",NEW WESTMINSTER,BC,V3K 0M4,900 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13315,"08/10/2023, 11:30:00 AM","08/12/2023, 4:08:48 PM",NEW WESTMINSTER,BC,V3M 1S6,700 Block 4TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13257,"08/10/2023, 4:43:00 AM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3M 1E9,200 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13294,"08/10/2023, 9:19:00 PM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13286,"08/05/2023, 7:00:00 AM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3L 5N3,300 Block GOVERNORS CRT,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000
23-13295,"08/10/2023, 9:31:00 PM","08/11/2023, 4:03:18 PM",NEW WESTMINSTER,BC,V3L 2E1,600 Block COLBORNE ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-13278,"08/10/2023, 6:33:00 PM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3M 1A6,800 Block AGNES ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-13267,"08/10/2023, 1:26:00 PM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3L 3T1,400 Block FADER ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-13264,"08/10/2023, 11:18:00 AM","08/11/2023, 4:03:17 PM",NEW WESTMINSTER,BC,V3L,300 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
