,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude
464,488,23-1274,2023-01-25 16:49:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3L 1B1,500 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.203895,-122.906557
465,489,23-1319,2023-01-21 00:45:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 1A5,600 Block COLUMBIA ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.20286,-122.90772
466,490,23-1293,2023-01-25 19:58:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 6V4,700 Block CARNARVON ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2030424,-122.9108517
467,491,23-1329,2023-01-24 19:17:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 2J5,1200 Block 7TH AVE,THEFT OF AUTO OVER $5000,Theft of Vehicle,THEFT OF AUTO OVER $5000,49.2087448,-122.9324071
468,492,23-1271,2023-01-24 19:23:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.18351310000001,-122.9513715
469,493,23-1272,2023-01-24 21:03:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 6X3,300 Block GIFFORD ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.18351310000001,-122.9513715
470,494,23-1283,2023-01-24 21:12:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT-OTHER OVER $5000,Theft,THEFT-OTHER OVER $5000,49.2250787,-122.8929076
471,495,23-1284,2023-01-25 17:57:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,FRAUD-IDENTITY,Property Crime,FRAUD-IDENTITY,49.2020176,-122.9096046
472,496,23-1324,2023-01-24 21:49:00+00:00,2023-01-26 18:02:45+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438
473,497,23-1287,2023-01-24 02:25:00+00:00,2023-01-25 17:45:45+00:00,NEW WESTMINSTER,BC,V3M 0E5,200 Block SALTER ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.1958008,-122.9235975
474,498,23-1244,2023-01-24 15:00:00+00:00,2023-01-25 17:45:45+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438
475,499,23-1260,2023-01-23 22:44:00+00:00,2023-01-25 17:45:45+00:00,NEW WESTMINSTER,BC,V3L,500 Block MCDONALD ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.23209749999999,-122.8950302
476,500,23-1226,2023-01-23 21:44:00+00:00,2023-01-25 17:45:45+00:00,NEW WESTMINSTER,BC,V3M 2M7,600 Block HAMILTON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2145655,-122.9235528
477,501,23-1217,2023-01-23 06:02:00+00:00,2023-01-25 17:45:45+00:00,NEW WESTMINSTER,BC,V3M 6H1,1200 Block QUAYSIDE DR,FRAUD-OTHER,Property Crime,FRAUD-OTHER,49.19844699999999,-122.920176
478,502,23-1183,2023-01-23 00:49:00+00:00,2023-01-24 17:08:05+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405
479,503,23-1167,2023-01-22 22:06:00+00:00,2023-01-24 17:08:06+00:00,NEW WESTMINSTER,BC,V3L 1K1,100 Block 3RD ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2093196,-122.9087048
480,504,23-1162,2023-01-23 05:38:00+00:00,2023-01-24 17:08:05+00:00,NEW WESTMINSTER,BC,.,1 Block AVE & 12TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2071148,-122.9298866
481,505,23-1182,2023-01-23 08:38:00+00:00,2023-01-24 17:08:06+00:00,NEW WESTMINSTER,BC,V3M 2X5,1900 Block EDINBURGH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2044627,-122.9471174
482,506,23-1188,2023-01-23 04:52:00+00:00,2023-01-24 17:08:04+00:00,NEW WESTMINSTER,BC,V3M,900 Block 19TH ST,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH,49.2054158,-122.9478198
483,507,23-1178,2023-01-19 22:00:00+00:00,2023-01-23 17:24:44+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,ROBBERY W/OTHER OFFENSIVE WPN,Robbery,ROBBERY W/OTHER OFFENSIVE WPN,49.2131309,-122.9208405
484,508,23-1160,2023-01-22 18:11:00+00:00,2023-01-23 17:24:44+00:00,NEW WESTMINSTER,BC,V3M 4H1,100 Block 12TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.200785,-122.9223936
485,509,23-1151,2023-01-22 19:54:00+00:00,2023-01-23 17:24:44+00:00,NEW WESTMINSTER,BC,V3M 3S7,800 Block 8TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2140238,-122.927619
486,510,23-1156,2023-01-19 23:12:00+00:00,2023-01-23 17:24:44+00:00,NEW WESTMINSTER,BC,V3M 2M7,600 Block HAMILTON ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2145655,-122.9235528
487,511,23-1020,2023-01-21 03:40:00+00:00,2023-01-22 17:44:02+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.190715,-122.9449051
488,513,23-1075,2023-01-20 23:56:00+00:00,2023-01-22 17:44:02+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405
489,514,23-1074,2023-01-19 17:05:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M,400 Block LOUELLEN ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2056631,-122.9272464
490,515,23-994,2023-01-19 22:27:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M,300 Block EWEN AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1934713,-122.9294141
491,517,23-1064,2023-01-20 18:29:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2057179,-122.910956
492,518,23-1059,2023-01-20 18:27:00+00:00,2023-01-21 17:39:52+00:00,NEW WESTMINSTER,BC,V3M 2K3,1400 Block 7TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2072012,-122.9354749
